Ref,Val,Package,PosX,PosY,Rot,Side
"H1","MountingHole","MouseBite_IPC7351",137.984451,-111.760000,90.000000,top
"H2","MountingHole","MouseBite_IPC7351",134.984452,-111.510000,90.000000,top
"H3","MountingHole","MouseBite_IPC7351",137.984452,-49.509999,90.000000,top
"H4","MountingHole","MouseBite_IPC7351",134.984452,-49.510000,90.000000,top
"H5","MountingHole","MouseBite_IPC7351",137.984451,-78.510000,90.000000,top
"H6","MountingHole","MouseBite_IPC7351",134.984452,-78.510000,90.000000,top
"SW3","EC11Ex","ALPS_EC11E",72.011763,-93.500467,0.000000,top
"SW4","EC11Ex","ALPS_EC11E",200.957141,-93.500467,0.000000,top
"SW5","SW_Push","MXOnly-1U-NoLED",25.195182,-34.467764,-10.000000,top
"SW6","SW_Push","MXOnly-1U-NoLED",44.644939,-33.867305,-10.000000,top
"SW7","SW_Push","MXOnly-1U-NoLED",63.956856,-34.048539,-10.000000,top
"SW8","SW_Push","MXOnly-1U-NoLED",83.268776,-34.229772,-10.000000,top
"SW9","SW_Push","MXOnly-1U-NoLED",101.478035,-40.664535,-10.000000,top
"SW10","SW_Push","MXOnly-1U-NoLED",119.687290,-47.099298,-10.000000,top
"SW11","SW_Push","MXOnly-1U-NoLED",21.887184,-53.228352,-10.000000,top
"SW12","SW_Push","MXOnly-1U-NoLED",41.336938,-52.627892,-10.000000,top
"SW13","SW_Push","MXOnly-1U-NoLED",60.648862,-52.809126,-10.000000,top
"SW14","SW_Push","MXOnly-1U-NoLED",79.960779,-52.990360,-10.000000,top
"SW15","SW_Push","MXOnly-1U-NoLED",98.170033,-59.425122,-10.000000,top
"SW16","SW_Push","MXOnly-1U-NoLED",116.379292,-65.859885,-10.000000,top
"SW17","SW_Push","MXOnly-1U-NoLED",18.579187,-71.988937,-10.000000,top
"SW18","SW_Push","MXOnly-1U-NoLED",38.028938,-71.388481,-10.000000,top
"SW19","SW_Push","MXOnly-1U-NoLED",57.340861,-71.569713,-10.000000,top
"SW20","SW_Push","MXOnly-1U-NoLED",76.652784,-71.750948,-10.000000,top
"SW21","SW_Push","MXOnly-1U-NoLED",94.862036,-78.185710,-10.000000,top
"SW22","SW_Push","MXOnly-1U-NoLED",113.071289,-84.620471,-10.000000,top
"SW23","SW_Push","MXOnly-1U-NoLED",153.281614,-47.099297,10.000000,top
"SW24","SW_Push","MXOnly-1U-NoLED",171.490869,-40.664535,10.000000,top
"SW25","SW_Push","MXOnly-1U-NoLED",189.700126,-34.229772,10.000000,top
"SW26","SW_Push","MXOnly-1U-NoLED",209.012046,-34.048538,10.000000,top
"SW27","SW_Push","MXOnly-1U-NoLED",228.323965,-33.867306,10.000000,top
"SW28","SW_Push","MXOnly-1U-NoLED",247.773721,-34.467764,10.000000,top
"SW29","SW_Push","MXOnly-1U-NoLED",156.589612,-65.859885,10.000000,top
"SW30","SW_Push","MXOnly-1U-NoLED",174.798868,-59.425122,10.000000,top
"SW31","SW_Push","MXOnly-1U-NoLED",193.008122,-52.990360,10.000000,top
"SW32","SW_Push","MXOnly-1U-NoLED",212.320042,-52.809126,10.000000,top
"SW33","SW_Push","MXOnly-1U-NoLED",231.631963,-52.627892,10.000000,top
"SW34","SW_Push","MXOnly-1U-NoLED",251.081719,-53.228352,10.000000,top
"SW35","SW_Push","MXOnly-1U-NoLED",159.897612,-84.620472,10.000000,top
"SW36","SW_Push","MXOnly-1U-NoLED",178.106865,-78.185710,10.000000,top
"SW37","SW_Push","MXOnly-1U-NoLED",196.316118,-71.750948,10.000000,top
"SW38","SW_Push","MXOnly-1U-NoLED",215.628042,-71.569714,10.000000,top
"SW39","SW_Push","MXOnly-1U-NoLED",234.939963,-71.388481,10.000000,top
"SW40","SW_Push","MXOnly-1U-NoLED",254.389716,-71.988939,10.000000,top
"SW41","SW_Push","MXOnly-1.25U-NoLED",159.710653,-106.415300,10.000000,top
"SW42","SW_Push","MXOnly-1.25U-NoLED",113.258249,-106.415300,-10.000000,top
"SW43","SW_Push","MXOnly-2.25U-ReversedStabilizers-NoLED",169.090946,-104.761301,10.000000,top
"SW44","SW_Push","MXOnly-2.25U-ReversedStabilizers-NoLED",103.877955,-104.761301,-10.000000,top
"SW45","SW_Push","MXOnly-1U-NoLED",180.816314,-102.693802,10.000000,top
"SW46","SW_Push","MXOnly-1U-NoLED",200.957141,-93.500467,0.000000,top
"SW47","SW_Push","MXOnly-1U-NoLED",72.011763,-93.500467,0.000000,top
"SW48","SW_Push","MXOnly-1U-NoLED",92.152587,-102.693802,-10.000000,top
